Fecha/hora,TR1.,Activa (KWh),TR1.E.Reactiva
03/01/2022,07:00:00,22.052,0
03/01/2022,07:15:00,20.463,0
03/01/2022,11:15:00,14.393,0
03/01/2022,11:30:00,30.576,0
03/01/2022,11:45:00,50.894,0
03/01/2022,12:00:00,49.738,0
03/01/2022,12:15:00,39.202,0
03/01/2022,12:30:00,27.331,0
03/01/2022,12:45:00,47.149,0
03/01/2022,13:00:00,55.169,0
03/01/2022,13:15:00,56.135,0
03/01/2022,13:30:00,54.947,0
03/01/2022,13:45:00,53.702,0
03/01/2022,14:00:00,47.46,0
03/01/2022,14:15:00,48.538,0
03/01/2022,14:30:00,54.225,0
03/01/2022,14:45:00,51.795,0
03/01/2022,15:00:00,50.581,0
03/01/2022,15:15:00,55.926,0
03/01/2022,15:30:00,57.767,0
03/01/2022,15:45:00,51.344,0
03/01/2022,16:00:00,33.218,0
03/01/2022,16:15:00,37.576,0
03/01/2022,16:30:00,50.119,0
03/01/2022,16:45:00,43.463,0
03/01/2022,17:00:00,51.437,0
03/01/2022,17:15:00,55.463,0
03/01/2022,17:30:00,61.235,0
03/01/2022,17:45:00,60.817,0
03/01/2022,18:00:00,63.193,0
03/01/2022,18:15:00,61.594,0
03/01/2022,18:30:00,61.479,0
03/01/2022,18:45:00,63.164,0
03/01/2022,19:00:00,59.832,0
03/01/2022,19:15:00,56.587,0
03/01/2022,19:30:00,29.923,0
03/01/2022,19:45:00,28.484,0
03/01/2022,20:00:00,23.729,0
03/01/2022,20:15:00,21.713,0
03/01/2022,20:30:00,21.254,0
03/01/2022,20:45:00,21.15,0
03/01/2022,21:00:00,20.985,0
03/01/2022,21:15:00,20.879,0
03/01/2022,21:30:00,21.047,0
03/01/2022,21:45:00,22.888,0
03/01/2022,22:00:00,25.713,0
03/01/2022,22:15:00,21.861,0
03/01/2022,22:30:00,21.637,0
03/01/2022,22:45:00,21.071,0
03/01/2022,23:00:00,21.005,0
03/01/2022,23:15:00,20.996,0
03/01/2022,23:30:00,20.995,0
03/01/2022,23:45:00,21.074,0
04/01/2022,00:00:00,26.211,0
04/01/2022,00:15:00,21.567,0
04/01/2022,00:30:00,20.982,0
04/01/2022,00:45:00,21.069,0
04/01/2022,01:00:00,21.069,0
04/01/2022,01:15:00,21.031,0
04/01/2022,01:30:00,21.104,0
04/01/2022,01:45:00,21.408,0
04/01/2022,02:00:00,21.659,0
04/01/2022,02:15:00,26.973,0
04/01/2022,02:30:00,20.902,0
04/01/2022,02:45:00,20.948,0
04/01/2022,03:00:00,20.943,0
04/01/2022,03:15:00,20.908,0
04/01/2022,03:30:00,20.871,0
04/01/2022,03:45:00,20.924,0
04/01/2022,04:00:00,20.767,0
04/01/2022,04:15:00,23.085,0
04/01/2022,04:30:00,24.338,0
04/01/2022,04:45:00,20.92,0
04/01/2022,05:00:00,20.768,0
04/01/2022,05:15:00,20.691,0
04/01/2022,05:30:00,20.629,0
04/01/2022,05:45:00,20.652,0
04/01/2022,06:00:00,20.671,0
04/01/2022,06:15:00,20.647,0
04/01/2022,06:30:00,26.426,0
04/01/2022,06:45:00,20.734,0
04/01/2022,07:00:00,20.72,0
04/01/2022,07:15:00,19.204,0
04/01/2022,07:30:00,16.875,0
04/01/2022,07:45:00,18.199,0
04/01/2022,08:00:00,16.771,0
